numero_item;descricao;marca;unidade_medida;quantidade_contratada;valor_unitario;saida;tipo_item
83;FITA DE JUTA 30MM, ROLO COM APROXIMADAMENTE 10 METROS, CORES DIVERSAS.;PROGRESSO;ROLO COM 10 METROS;30;23.70;0;CONSUMO
84;FIO DE JUTA NATURAL, 1 MM A 3MM APROXIMADAMENTE, ROLO DE NO MINIMO 50 METROS.;KIT ROLO;ROLO;30;10.20;0;CONSUMO
85;COLA COLORIDA, TIPO GLITTER, 23G, CORES DIVERSAS, CAIXA COM 6 UNIDADES.;GATTE;CAIXA COM 6 UNID;20;12.90;20;CONSUMO
86;LAPIS DE COR, 12 CORES, TAMANHO GRANDE, FORMATO REDONDO OU SEXTAVADO, CAIXA COM 12 UNIDADES;BAZZE;CAIXA COM 12 UNID;24;2.45;24;CONSUMO
87;CANETA HIDROGRAFICA 12 CORES, TAMANHO GRANDE, ESCRITA FINA, CAIXA COM 12 UNIDADES.;BAZZE;CAIXA COM 12 UNID;24;3.90;24;CONSUMO
88;GIZ DE CERA CORES SORTIDAS, FORMATO ANATOMICO, NAO TOXICO, PESO LIQUIDO 48G. CAIXA COM 12 UNIDADES.;LEONORA;CAIXA COM 12 UNID;24;4.90;24;CONSUMO
89;FITA BANANA DUPLA FACE ESPONJOSA, 16 A 19MM, ROLO COM NO MINIMO 10 METROS.;KORETECH;ROLO COM 10 METROS;100;6.80;80;CONSUMO
90;MOLHA DEDO GLICERINADO, SEM ALCOOL, POTE COM 12 GRAMAS.;WALEU;UNIDADE;100;2.77;30;CONSUMO
91;GRAFITE PARA LAPISEIRA: PONTA 0,7. ESTOJO COM 12 GRAFITES, PARA USO TECNICO, ESCOLAR E GERAL;LEONORA;UNIDADE;52;1.00;25;CONSUMO
92;PAPEL VERGE BRANCO 180GR COM NO MINIMO AS SEGUINTES ESPECIFICACOES: PAPEL VERGE DE PAPELARIA, TEXTURA LEVEMENTE RUGOSA, FORMATO A4, MEDIDAS (210X297)MM, NA COR BRANCO, GRAMATURA 120G.;BAHIA ARTES GRAFICA;RESMA COM 50 FOLHAS;100;9.90;35;CONSUMO
93;PORTA-LAPIS/CLIPE/LEMBRETE, PORTA OBJETO, CLIPS, CANETA, BLOCO P/ RECADO. MATERIAL EM ACRILICO CRISTAL.;WALEU;UNIDADE;40;9.80;15;CONSUMO
94;FITA DUPLA FACE FIXA FORTE TRANSPARENTE 24MM X 2M SUPORTA ATE 5KG;KORETECH;UNIDADE;100;12.07;10;CONSUMO
